Video title,Video publish time,Comments added,Average percentage viewed (%),Likes,Views,Impressions
How to create a Streamlit Multi-Page Web App,24-Jul-22,32,35.21,246,9704,101726
How To Execute An Excel VBA Macro From Python,21-Aug-21,32,42.3,261,14967,72448
Create an advanced GUI app with PySimpleGUI (Full Tutorial),17-Jul-22,31,12.62,424,12537,164553
Send WhatsApp Messages From Excel With VBA Using Twilio | Step-by-Step Tutorial \uc0\u55357 \u56492,8-Nov-20,31,21.06,119,13026,99896
Export Pandas DataFrames to new & existing Excel workbook,29-Jan-22,30,38.72,231,11057,89409
Make a GUI with just ONE LINE of code using Python,10-Apr-22,30,21.32,311,7158,101762
Replace Excel Vlookup in Python Using Pandas (fast & easy) | Pandas Merge Tutorial,27-Feb-21,28,40.09,345,13245,115902
Find & Replace Values in Multiple Excel Files using Python (fast & easy),15-Jan-22,28,37.62,178,4685,64459
Compare Two Excel Sheets with Different Number of Rows and Find Differences using Python,3-Apr-22,27,26.71,385,15348,178023
Send Daily Push Notifications to Your Phone Using Python | Build A New Year's Resolution BOT (fast),1-Jan-21,26,30.74,512,26379,146417
How To Create An Interactive Gantt Diagram In Python Using Plotly & Excel | Step-by-Step Tutorial,25-Jul-20,25,22.55,258,15731,88590
Automate Emails Using Python! Build An Automatic Payment Reminder & Schedule Your Scripts Online,21-Aug-22,24,17.22,235,4800,104308
Integrate Lottie Animations Inside Your Streamlit App!,28-Aug-21,24,41.32,239,6600,106598
How to Run Python in an Open Excel Workbook (EASY) | Combine Excel & Python | xlwings Tutorial,11-Feb-21,24,20.83,393,22070,178362
Build A Digital Resume Using Python & Streamlit,28-Aug-22,23,16.15,280,5400,71206
Python: Split Each Excel Sheet Into Separate Files (fast & easy),5-Jun-21,23,48.79,86,6659,40087
Is PYTHON or VBA better? Which language should you learn? \uc0\u55358 \u56596,17-Dec-21,23,39.19,271,7523,140695
How To Create A Word Cloud In Python | Tutorial [EASY] \uc0\u55357 \u56507,30-Aug-20,23,36.11,377,23941,162555
Build a Web App to Group & Plot Excel Files in Python with Streamlit,26-Jun-21,23,26.79,321,9875,157828
Run SQL queries in EXCEL (just like a normal Excel formula \uc0\u55358 \u56623 ),7-Aug-22,22,27.14,338,8268,114705
Build a Dividend & Portfolio Tracker in Excel by using Python [Free Template],3-Apr-21,21,20.37,140,4550,46781
How to use the Pathlib Module in Python | QuickStart Guide for Beginners,16-Oct-21,21,47.23,256,5783,63311
How to Split Each Excel Sheet Into a Separate File Using Python,8-Jan-22,21,26.69,102,2866,51253
Python: How to Loop Through Folders and Subfolders,13-Nov-21,21,41.33,308,9416,100508
Read Messy & Poorly Structured Excel Files Using Pandas (Python),20-Feb-21,20,32.56,196,5555,61932
Python: Copy Data From Multiple Files to Master File | Read/Write Closed Excel Files Using Openpyxl,17-Jul-21,20,33.21,373,17039,163722
Install Miniconda (Python) with Jupyter Notebook and Setting Up Virtual Environments on Windows 10,9-Jan-21,20,38.86,317,17415,100770
Turn Your Excel Sheet Into An Interactive Application Using Python (Full Project),6-May-22,20,15.62,315,7829,110209
Python: Combine All Excel Files in a Folder into One Workbook,3-Jul-21,20,44.92,171,8719,72535
How to Merge Multiple PDF Files in Excel Using Python (fast & easy),17-Apr-21,19,29.71,103,4257,56851
Deploy Your Streamlit App To Render (Free Heroku Alternative),17-Sep-22,18,28.15,142,2238,39804
How to Send Push Notifications to Your Phone Using Excel & VBA,19-Jun-21,17,35.28,109,4498,42919
Combine Excel & Python | Execute a Python Script from Excel using xlwings | Works on Windows & macOS,31-Jul-21,17,22.6,210,10585,114520
Merge multiple PDF files based on their name using Python (Real-World Example),16-Apr-22,17,34.63,154,3432,75519
How to Get Stock Data & Export It To Excel Using Python | Tutorial [EASY] \uc0\u55357 \u56507,6-Sep-20,15,37.4,158,8966,77208
How to Merge Excel Files with Different Headers in Python,12-Feb-22,15,38.2,125,3068,64414
Convert the content from multiple TXT or CSV files into Excel using Python (Real-World Example),3-Sep-22,14,29.09,95,2143,49317
How To Create A Treemap & Sunburst Chart In Python Using Plotly & Excel | Tutorial [EASY] \uc0\u55357 \u56507,2-Aug-20,13,20.24,147,6604,65221
How To Create A Pie Chart In Python Using Plotly & Excel | Tutorial [EASY] \uc0\u55357 \u56507,23-Aug-20,13,28.36,58,4465,64566
Python: Group Excel Sheets & Save Them As Separate Workbooks,13-Aug-21,12,22.67,38,1322,36990
Supercharge Excel With Python \uc0\u55357 \u56960,26-Feb-22,12,23.28,218,5343,90211
5 Little Known Pandas Features \uc0\u55358 \u56595,10-Sep-22,11,33.85,293,4979,96055
Execute a Python Script from Excel using the MyToolBelt add-in,4-Jun-22,11,23.63,105,2554,56582
The EASIEST way to load multiple EXCEL sheets in PANDAS,24-Sep-22,11,40.53,134,2221,44565
"How to Lock Cells in Excel using Python \uc0\u55357 \u56594  (by Cell Color, Font Style, Formula or Cell Value)",2-Jul-22,10,24.18,56,1688,52938
"How To Remove \'93Made with Streamlit\'94, Hamburger Icon Menu & Streamlit Header",22-Jul-21,10,78.33,115,3708,31197
How To Create Pandas Dataframe From Clipboard #Shorts,24-Apr-21,10,72.55,139,2137,50897
Turn Your Excel Worksheet Into An Exploratory Data Analysis Report In Just 3 Lines Of Python Code \uc0\u55357 \u56613,15-Nov-20,10,30.37,301,9606,99015
"Excel SUMIFS, COUNTIFS & AVERAGEIFS in PYTHON (Pandas Library)",12-Jun-21,9,49.77,105,3584,34991
\uc0\u55357 \u56507  How To Create A GUI In Python Using Tkinter To Display COVID19 Stats | Step-by-Step Tutorial,18-Jul-20,9,15.38,42,3058,38246
How To Add A Contact Form To Your Streamlit App,18-Sep-21,8,27.62,128,5976,89134
What is this channel all about...,19-Apr-21,8,58.62,47,8974,43357
Build a Weather App in Excel by using Python,10-Apr-21,8,20.23,87,3197,46454
Create A Pandas Dataframe Right Inside Excel,4-Sep-21,8,43.51,124,3001,35641
How To Create A Bar Race Animation Using Excel And Python | Tutorial [EASY] \uc0\u55357 \u56507,26-Sep-20,7,31.09,74,2610,39865
How To Create An Animated Bar Chart (Bar Race) In Python Using Plotly & Excel | Tutorial [EASY] \uc0\u55357 \u56507,9-Aug-20,7,21.69,119,5534,79838
Automate Tinder with EXCEL | Step-By-Step Tutorial,25-Sep-21,7,17.39,45,1343,26336
Create A Liquid (Water Polo) Chart From Excel Data in Python | \'91PyeCharts\'92 Tutorials,8-May-21,6,24.31,70,1538,32561
Excel Template To Create Interactive Waterfall Charts | Combines VBA + Python \uc0\u55357 \u56507,3-Oct-20,6,16.1,25,806,25739
How To Save Cookies & Login Data In Selenium VBA (Chrome Webdriver),21-Sep-21,6,81.96,46,2436,325
Export a Pandas Dataframe to Excel with Document Properties,1-Aug-22,6,33.42,96,2111,39605
Save Excel Values From Each Worksheet In A Separate File,22-Jan-22,6,33.93,50,1360,38868
Weighted Average Calculation in Pandas,5-Mar-22,6,42.99,93,1957,53221
\uc0\u55357 \u56520  How To Create A Candlestick Chart In Python Using Plotly | Tutorial [EASY],20-Sep-20,6,25.53,92,4666,54793
MyToolBelt Installation,,5,72.18,22,1309,13
How To Create A Waterfall Chart In Python Using Plotly & Excel | Tutorial [EASY] \uc0\u55357 \u56507,15-Aug-20,5,25.68,62,2307,48830
Create Invoice Filepath,,5,70.11,1,16,5
Create Hand Drawn Charts In Excel Using Python (Fast & Easy) | Cutecharts Tutorial \uc0\u55357 \u56522,12-Dec-20,5,28.11,48,904,19385
How To Create An Interactive Population Pyramid in Python Using Plotly (Fast & Easy),24-Dec-20,5,28.91,55,2121,27618
Pull Stock Data & Export It To Excel Using Python #shorts,6-Mar-21,4,73.26,89,1961,37686
PySimpleGUI Retrieve Data,,4,85.97,6,182,78
Add a snowflake animation to your streamlit web app (quick & easy),24-Dec-21,3,27.17,58,2087,52669
How To Create A GUI Program In Python Using Tkinter (EASY) \uc0\u55357 \u56507  | Fun Fact Generator,13-Sep-20,3,31.51,46,1994,37525
Quick Tip: Excel VBA Debugging,4-Jan-21,2,68.05,14,621,17069
Create Gauge & Bullet Charts In 3 Seconds Using Excel and Python \uc0\u55357 \u56333  | Free Excel Template,26-Dec-20,2,27.42,49,2159,35463
xlwings - demo,,0,102.23,0,3,0
"How to resolve ""pytube.exceptions.RegexMatchError""",,0,44.91,0,13,3
