type,mode,amount,currentBalance,transactionTimestamp,valueDate,txnId,narration,reference
DEBIT,UPI,140.0,3684.80,2023-08-24T13:35:21+05:30,2023-08-24,S70447679,UPI/323606328320/133521/UPI/9258641372ybl/Paym,NA
CREDIT,UPI,400.0,4084.80,2023-08-24T16:52:52+05:30,2023-08-24,S78285774,UPI/323628493930/165253/UPI/7479893801ibl/Paym,NA
CREDIT,UPI,750.0,4834.80,2023-08-24T18:22:22+05:30,2023-08-24,S82498542,UPI/323679308931/182222/UPI/7731035157ibl/Paym,NA
DEBIT,UPI,80.0,4754.80,2023-08-24T21:43:55+05:30,2023-08-24,S92519516,UPI/323600260769/214354/UPI/BHARATPE90725406876,NA
DEBIT,UPI,30.0,4724.80,2023-08-24T21:48:01+05:30,2023-08-24,S92652956,UPI/323633683779/214801/UPI/Q057618043ybl/Paym,NA
DEBIT,UPI,2480.0,2244.80,2023-08-25T10:24:38+05:30,2023-08-25,S1271195,UPI/323779418599/102438/UPI/Q201531625ybl/Paym,NA
DEBIT,UPI,1450.0,794.80,2023-08-25T10:39:35+05:30,2023-08-25,S1851691,UPI/323723435211/103935/UPI/KAYUMTRADERSicici/,NA
DEBIT,UPI,120.0,674.80,2023-08-25T12:03:11+05:30,2023-08-25,S5806723,UPI/323795135335/120311/UPI/BHARATPE9000335745,NA
CREDIT,UPI,480.0,1154.80,2023-08-25T16:03:16+05:30,2023-08-25,S16400570,UPI/360354864566/160316/UPI/mayankbhai73590oki,NA
CREDIT,OTHERS,1.0,1155.80,2023-08-25T16:04:31+05:30,2023-08-25,S16470419,IMPS/P2A/323716492303/PHONEPEPRIVATEL/IMPSAXB9111,NA
DEBIT,UPI,1.0,1154.80,2023-08-25T16:15:02+05:30,2023-08-25,S16919432,UPI/360322594403/161502/UPI/paytm-53692591payt,NA
DEBIT,UPI,1.0,1153.80,2023-08-25T16:19:10+05:30,2023-08-25,S17095662,UPI/323756969282/161910/UPI/arbazahmad161okici,NA
CREDIT,UPI,21.0,1174.80,2023-08-25T16:19:20+05:30,2023-08-25,S17104503,UPI/323784208807/161921/UPI/goog-paymentokaxis,NA
CREDIT,OTHERS,1.0,1175.80,2023-08-25T16:41:37+05:30,2023-08-25,S18054437,NEFT-AXNPN32379238097-PHONEPE PRIVATE LIMITED,920020066838981
DEBIT,UPI,1000.0,175.80,2023-08-25T16:56:59+05:30,2023-08-25,S18720196,UPI/323737522524/165659/UPI/9455566771ibl/Paym,NA
DEBIT,UPI,30.0,145.80,2023-08-25T18:23:59+05:30,2023-08-25,S22642750,UPI/360372011100/182358/UPI/9580229953ybl/Paym,NA
CREDIT,OTHERS,51.0,196.80,2023-08-25T18:37:02+05:30,2023-08-25,S23309045,IMPS/P2A/323718489753/PHONEPEPRIVATEL/IMPSAXB9111,NA
DEBIT,UPI,1.0,195.80,2023-08-26T15:06:16+05:30,2023-08-26,S51405185,UPI/323834868218/150615/UPI/BHARATPE9006655445,NA
CREDIT,UPI,500.0,695.80,2023-08-26T19:25:59+05:30,2023-08-26,S62384893,UPI/323802960783/192600/UPI/9369558521ybl/Paym,NA
CREDIT,UPI,500.0,1195.80,2023-08-26T19:42:29+05:30,2023-08-26,S63283598,UPI/323823651280/194229/UPI/rajanbhai271okhdfc,NA
CREDIT,UPI,700.0,1895.80,2023-08-26T20:36:16+05:30,2023-08-26,S65982118,UPI/323840766196/203616/UPI/shivampandit199999,NA
DEBIT,UPI,60.0,1835.80,2023-08-26T21:29:53+05:30,2023-08-26,S68128680,UPI/323842980662/212953/UPI/BHARATPE9006422859,NA
DEBIT,UPI,20.0,1815.80,2023-08-26T21:31:20+05:30,2023-08-26,S68172522,UPI/323858871474/213120/UPI/BHARATPE9006422859,NA
DEBIT,UPI,1.0,1814.80,2023-08-27T12:18:39+05:30,2023-08-27,S80702588,UPI/323980913734/121839/UPI/9455566771ibl/Paym,NA
DEBIT,UPI,1499.0,315.80,2023-08-27T12:19:54+05:30,2023-08-27,S80757332,UPI/323955508725/121953/UPI/9455566771ibl/Paym,NA
CREDIT,UPI,240.0,555.80,2023-08-27T19:29:38+05:30,2023-08-27,S97701259,UPI/323906382845/192938/UPI/atulyadav16469axl/,NA
CREDIT,OTHERS,850.0,1405.80,2023-08-28T20:27:41+05:30,2023-08-28,S41019806,IMPS/P2A/324020918876/PHONEPEPRIVATEL/IMPSAXB9111,NA
DEBIT,UPI,10.0,1395.80,2023-08-28T22:12:24+05:30,2023-08-28,S45408910,UPI/324042450488/221223/UPI/AMZN0013808700apl/,NA
DEBIT,UPI,1200.0,195.80,2023-08-29T11:49:00+05:30,2023-08-29,S57790074,UPI/324141523213/114859/UPI/6393130981ibl/Paym,NA
CREDIT,OTHERS,600.0,795.80,2023-08-29T20:02:21+05:30,2023-08-29,S81074239,IMPS/P2A/324120778985/PHONEPEPRIVATEL/IMPSAXB9111,NA
DEBIT,UPI,100.0,695.80,2023-08-29T20:16:40+05:30,2023-08-29,S81854961,UPI/324197515990/201639/UPI/9651400138ibl/Paym,NA
DEBIT,UPI,15.0,680.80,2023-08-30T04:20:30+05:30,2023-08-30,C49639415,UPI/360856222176/003529/UPI/JIOINAPPDIRECTybl/,NA
CREDIT,OTHERS,600.0,1280.80,2023-08-30T16:19:31+05:30,2023-08-30,S10234718,IMPS/P2A/324216087923/PHONEPEPRIVATEL/IMPSAXB9111,NA
CREDIT,OTHERS,170.0,1450.80,2023-08-30T20:28:31+05:30,2023-08-30,S22822792,IMPS/P2A/324220033063/PHONEPEPRIVATEL/IMPSAXB9111,NA
CREDIT,OTHERS,350.0,1800.80,2023-08-31T06:44:24+05:30,2023-08-31,S29321467,NEFT-AXNPN32436146561-PHONEPE PRIVATE LIMITED-PAYM,922020004688715
CREDIT,OTHERS,750.0,2550.80,2023-08-31T13:42:41+05:30,2023-08-31,S44452744,IMPS/P2A/324313262601/PHONEPEPRIVATEL/IMPSAXB9111,NA
CREDIT,UPI,1200.0,3750.80,2023-08-31T16:09:10+05:30,2023-08-31,S49825253,UPI/360922384154/160911/UPI/6393130981paytm/NA,NA
DEBIT,UPI,200.0,3550.80,2023-08-31T17:42:03+05:30,2023-08-31,S53800850,UPI/360913730269/174202/UPI/7007317430ybl/Paym,NA
DEBIT,UPI,50.0,3500.80,2023-08-31T17:46:36+05:30,2023-08-31,S53987372,UPI/360940991010/174635/UPI/Q564420176ybl/Paym,NA
DEBIT,UPI,3500.0,0.80,2023-09-01T10:42:42+05:30,2023-09-01,S73798851,UPI/324450376631/104241/UPI/KAYUMTRADERSicici/,NA
CREDIT,UPI,34.0,34.80,2023-09-03T18:19:09+05:30,2023-09-03,S77153314,UPI/361211837275/181909/UPI/8318404822ybl/Paym,NA
CREDIT,UPI,460.0,494.80,2023-09-04T12:10:17+05:30,2023-09-04,S1344345,UPI/324796646064/121018/UPI/akashk4478oksbi/UP,NA
DEBIT,UPI,200.0,294.80,2023-09-04T18:21:45+05:30,2023-09-04,S19162834,UPI/361301891758/182145/UPI/9794155540ybl/Paym,NA
CREDIT,OTHERS,850.0,1144.80,2023-09-04T19:40:41+05:30,2023-09-04,S23851712,IMPS/P2A/324719156719/PHONEPEPRIVATEL/IMPSAXB9111,NA
CREDIT,UPI,200.0,1344.80,2023-09-05T16:30:08+05:30,2023-09-05,S58447449,UPI/324834305504/163009/UPI/7310728269ibl/Paym,NA
CREDIT,OTHERS,1100.0,2444.80,2023-09-05T16:38:31+05:30,2023-09-05,S58842954,IMPS/P2A/324816104223/PHONEPEPRIVATEL/IMPSAXB9111,NA
DEBIT,UPI,10.0,2434.80,2023-09-06T10:13:26+05:30,2023-09-06,S84140894,UPI/324953058232/101326/UPI/9793976636paytm/Pa,NA
DEBIT,UPI,15.0,2419.80,2023-09-06T17:22:50+05:30,2023-09-06,S1765667,UPI/361567152277/172250/UPI/JIOINAPPDIRECTybl/,NA
DEBIT,UPI,220.0,2199.80,2023-09-08T19:37:29+05:30,2023-09-08,S89851665,UPI/325193535751/193728/UPI/BHARATPE9006231703,NA
DEBIT,UPI,500.0,1699.80,2023-09-08T19:39:31+05:30,2023-09-08,S89975898,UPI/325170177499/193930/UPI/BHARATPE9006231703,NA
CREDIT,OTHERS,850.0,2549.80,2023-09-08T20:21:01+05:30,2023-09-08,S92123207,IMPS/P2A/325120711629/PHONEPEPRIVATEL/IMPSAXB9111,NA
CREDIT,OTHERS,350.0,2899.80,2023-09-09T06:16:55+05:30,2023-09-09,S98844631,NEFT-AXNPN32522537728-PHONEPE PRIVATE LIMITED-PAYM,922020004688715
DEBIT,UPI,1.0,2898.80,2023-09-09T17:56:13+05:30,2023-09-09,S23158198,UPI/325249610577/175612/UPI/9910619719ibl/Paym,NA
DEBIT,UPI,499.0,2399.80,2023-09-09T17:56:53+05:30,2023-09-09,S23189784,UPI/361821005165/175653/UPI/9910619719ybl/Paym,NA
CREDIT,OTHERS,200.0,2599.80,2023-09-09T20:03:32+05:30,2023-09-09,S29678386,IMPS/P2A/325220633774/PHONEPEPRIVATEL/IMPSAXB9111,NA
DEBIT,UPI,10.0,2589.80,2023-09-11T21:53:54+05:30,2023-09-11,S16382909,UPI/362008912683/215353/UPI/9118603709ybl/Paym,NA
CREDIT,OTHERS,180.0,2769.80,2023-09-12T07:07:06+05:30,2023-09-12,S20182227,NEFT-AXNPN32551072344-PHONEPE PRIVATE LIMITED-PAYM,922020004688715
DEBIT,CARD,60.0,2709.80,2023-09-12T09:55:34+05:30,2023-09-12,S25018025,PRCR/MS NEHA FILLING STATIO/FARRUKHAB,NA
DEBIT,UPI,10.0,2699.80,2023-09-12T10:00:48+05:30,2023-09-12,S25206440,UPI/362117241971/100047/UPI/rlsrls611okaxis/UP,NA
DEBIT,UPI,20.0,2679.80,2023-09-12T10:11:04+05:30,2023-09-12,S25612137,UPI/325586543048/101104/UPI/918960343294paytm/,NA
CREDIT,OTHERS,350.0,3029.80,2023-09-13T06:36:06+05:30,2023-09-13,S61221395,NEFT-AXNPN32564161171-PHONEPE PRIVATE LIMITED-PAYM,922020004688715
DEBIT,UPI,3000.0,29.80,2023-09-13T10:19:32+05:30,2023-09-13,S67400576,UPI/362228688034/101932/UPI/kayumtradersicici/,NA
CREDIT,OTHERS,400.0,429.80,2023-09-13T19:25:01+05:30,2023-09-13,S92163252,IMPS/P2A/325619237951/PHONEPEPRIVATEL/IMPSAXB9111,NA
DEBIT,UPI,140.0,289.80,2023-09-14T10:18:25+05:30,2023-09-14,S8105743,UPI/325782067531/101824/UPI/yadavgarments01ici,NA
DEBIT,UPI,120.0,169.80,2023-09-14T10:24:31+05:30,2023-09-14,S8341478,UPI/325711128680/102431/UPI/q276211684ybl/UPI,NA
CREDIT,OTHERS,670.0,839.80,2023-09-14T19:29:31+05:30,2023-09-14,S32855767,IMPS/P2A/325719401444/PHONEPEPRIVATEL/IMPSAXB9111,NA
CREDIT,OTHERS,5500.0,6339.80,2023-09-14T21:14:51+05:30,2023-09-14,S38051220,IMPS/P2A/325721171918/PHONEPEPRIVATEL/IMPSAXB9111,NA
DEBIT,UPI,50.0,6289.80,2023-09-14T21:54:45+05:30,2023-09-14,S39553889,UPI/325764466374/215444/UPI/q281022332ybl/UPI,NA
CREDIT,OTHERS,580.0,6869.80,2023-09-15T19:33:11+05:30,2023-09-15,S74319456,IMPS/P2A/325819277159/PHONEPEPRIVATEL/IMPSAXB9111,NA
DEBIT,UPI,40.0,6829.80,2023-09-15T21:46:32+05:30,2023-09-15,S80853921,UPI/325814801338/214632/UPI/q480037413ybl/UPI,NA
CREDIT,OTHERS,400.0,7229.80,2023-09-15T23:26:41+05:30,2023-09-15,S82914368,IMPS/P2A/325823524705/PHONEPEPRIVATEL/IMPSAXB9111,NA
DEBIT,UPI,120.0,7109.80,2023-09-16T11:41:10+05:30,2023-09-16,S93668594,UPI/325939118698/114110/UPI/bharatpe9000335745,NA
DEBIT,UPI,110.0,6999.80,2023-09-16T20:16:42+05:30,2023-09-16,S16850212,UPI/362506341475/201642/UPI/q936188905ybl/UPI,NA
CREDIT,UPI,50.0,7049.80,2023-09-17T20:17:51+05:30,2023-09-17,S57286243,UPI/362682097837/201752/UPI/9140092527ybl/Paym,NA
DEBIT,UPI,19.0,7030.80,2023-09-17T20:34:56+05:30,2023-09-17,S58083046,UPI/362677666438/203455/UPI/JIOINAPPDIRECTybl/,NA
DEBIT,UPI,10.0,7020.80,2023-09-17T21:39:34+05:30,2023-09-17,S60618933,UPI/326031090121/213933/UPI/paytmqr281005050101,NA
DEBIT,UPI,241.0,6779.80,2023-09-18T22:24:38+05:30,2023-09-18,S2152518,UPI/362782511755/222438/UPI/JIOINAPPDIRECTybl/,NA
CREDIT,OTHERS,450.0,7229.80,2023-09-18T22:27:51+05:30,2023-09-18,S2241208,IMPS/P2A/326122069839/PHONEPEPRIVATEL/IMPSAXB9111,NA
DEBIT,UPI,60.0,7169.80,2023-09-20T04:51:17+05:30,2023-09-20,C68550271,UPI/362986065954/002806/UPI/jk3178023oksbi/UPI,NA
DEBIT,UPI,19.0,7150.80,2023-09-20T08:43:42+05:30,2023-09-20,S44586905,UPI/362936697320/084342/UPI/JIOINAPPDIRECTybl/,NA
DEBIT,UPI,50.0,7100.80,2023-09-20T22:19:24+05:30,2023-09-20,S79935171,UPI/362951515153/221923/UPI/bharatpe90725406876,NA
CREDIT,OTHERS,1550.0,8650.80,2023-09-21T06:38:19+05:30,2023-09-21,S81972494,NEFT-AXNPN32647896963-PHONEPE PRIVATE LIMITED-PAYM,922020004688715
DEBIT,UPI,3500.0,5150.80,2023-09-21T13:05:06+05:30,2023-09-21,S94489819,UPI/363099470087/130505/UPI/9910619719ybl/Paym,NA
CREDIT,UPI,1.0,5151.80,2023-09-21T18:29:38+05:30,2023-09-21,S7953606,UPI/326459300319/182939/UPI/8178328660ybl/Paym,NA
CREDIT,UPI,2500.0,7651.80,2023-09-21T19:28:25+05:30,2023-09-21,S11192322,UPI/326414745806/192825/UPI/8178328660ybl/Paym,NA
DEBIT,UPI,50.0,7601.80,2023-09-22T09:57:07+05:30,2023-09-22,S25137229,UPI/326557260830/095706/UPI/q936188905ybl/UPI,NA
DEBIT,UPI,1530.0,6071.80,2023-09-22T10:24:00+05:30,2023-09-22,S26148518,UPI/363118260318/102400/UPI/kayumtradersicici/,NA
DEBIT,UPI,2940.0,3131.80,2023-09-22T10:44:30+05:30,2023-09-22,S27314904,UPI/326594867550/104429/UPI/q201531625ybl/UPI,NA
DEBIT,UPI,500.0,2631.80,2023-09-22T18:56:41+05:30,2023-09-22,S50925382,UPI/326543680916/185641/UPI/q794239763ybl/UPI,NA
DEBIT,UPI,400.0,2231.80,2023-09-22T18:57:16+05:30,2023-09-22,S50959147,UPI/363160086306/185715/UPI/bharatpe9006655445,NA
DEBIT,UPI,140.0,2091.80,2023-09-22T21:52:38+05:30,2023-09-22,S59025095,UPI/363130387037/215238/UPI/paytm-71838008payt,NA
DEBIT,UPI,40.0,2051.80,2023-09-22T22:02:12+05:30,2023-09-22,S59359093,UPI/363183891268/220212/UPI/q503192015ybl/UPI,NA
CREDIT,OTHERS,1280.0,3331.80,2023-09-23T08:15:20+05:30,2023-09-23,S63173113,NEFT-AXNPN32663243361-PHONEPE PRIVATE LIMITED-PAYM,922020004688715
DEBIT,UPI,20.0,3311.80,2023-09-23T10:35:48+05:30,2023-09-23,S68034759,UPI/363206504523/103547/UPI/gpay-11217094612ok,NA
DEBIT,UPI,40.0,3271.80,2023-09-23T22:31:02+05:30,2023-09-23,S96558992,UPI/363240839054/223101/UPI/paytmqr281005050101,NA
DEBIT,UPI,17.0,3254.80,2023-09-23T22:48:48+05:30,2023-09-23,S96868152,UPI/326617042480/224848/UPI/bharatpe9006231702,NA
DEBIT,UPI,50.0,3204.80,2023-09-23T23:02:35+05:30,2023-09-23,S97057296,UPI/326611332361/230235/UPI/gpay-11225780335ok,NA
DEBIT,UPI,110.0,3094.80,2023-09-24T22:29:28+05:30,2023-09-24,S30361921,UPI/363370882645/222927/UPI/paytmqr281005050101,NA
CREDIT,OTHERS,1100.0,4194.80,2023-09-25T04:18:32+05:30,2023-09-25,S32068400,NEFT-AXNPN32689715249-PHONEPE PRIVATE LIMITED-PAYM,922020004688715
CREDIT,UPI,20.0,4214.80,2023-09-25T17:41:50+05:30,2023-09-25,S57029506,UPI/326845678397/174150/UPI/8423410441ybl/Paym,NA
DEBIT,UPI,20.0,4194.80,2023-09-25T20:14:00+05:30,2023-09-25,S65137615,UPI/363452618217/201400/UPI/paytmqr1m85w73nvep,NA
DEBIT,UPI,40.0,4154.80,2023-09-25T21:30:49+05:30,2023-09-25,S68701535,UPI/363413327004/213048/UPI/danishtt29okicici/,NA
DEBIT,UPI,1.0,4153.80,2023-09-26T10:00:52+05:30,2023-09-26,S77260285,UPI/326914825297/100052/UPI/9326476170axl/UPI,NA
DEBIT,UPI,3000.0,1153.80,2023-09-26T10:01:36+05:30,2023-09-26,S77287370,UPI/363526933147/100136/UPI/9326476170axl/UPI,NA
DEBIT,UPI,1000.0,153.80,2023-09-26T10:03:39+05:30,2023-09-26,S77362219,UPI/363512925930/100339/UPI/9326476170axl/UPI,NA
CREDIT,UPI,400.0,553.80,2023-09-26T14:00:53+05:30,2023-09-26,S87223444,UPI/326955781096/140054/UPI/pammapamma651okhdf,NA
DEBIT,UPI,30.0,523.80,2023-09-27T10:08:11+05:30,2023-09-27,S16287641,UPI/363632967626/100810/UPI/918960343294paytm/,NA
CREDIT,UPI,200.0,723.80,2023-09-27T12:06:05+05:30,2023-09-27,S21432101,UPI/327056465788/120606/UPI/7786043828axl/Paym,NA
DEBIT,UPI,200.0,523.80,2023-09-27T12:06:19+05:30,2023-09-27,S21445103,UPI/327092966148/120619/UPI/q794239763ybl/UPI,NA
DEBIT,UPI,200.0,323.80,2023-09-27T12:09:21+05:30,2023-09-27,S21572478,UPI/327060881675/120921/UPI/7668144294ybl/UPI,NA
CREDIT,OTHERS,400.0,723.80,2023-09-27T13:34:24+05:30,2023-09-27,S26099502,NEFT-AXNPN32707366582-PHONEPE PRIVATE LIMITED-PAYM,922020004688715
DEBIT,UPI,100.0,623.80,2023-09-27T20:11:21+05:30,2023-09-27,S44959822,UPI/363674299469/201120/UPI/salmanisohail316ok,NA
CREDIT,OTHERS,1450.0,2073.80,2023-09-28T08:00:14+05:30,2023-09-28,S52838514,NEFT-AXNPN32718772376-PHONEPE PRIVATE LIMITED-PAYM,922020004688715
DEBIT,UPI,1280.0,793.80,2023-09-28T12:13:59+05:30,2023-09-28,S61675993,UPI/327126113100/121359/UPI/9326476170axl/UPI,NA
DEBIT,UPI,10.0,783.80,2023-09-28T21:21:56+05:30,2023-09-28,S84281424,UPI/363705428996/212156/UPI/q151916609ybl/UPI,NA
CREDIT,OTHERS,600.0,1383.80,2023-09-29T06:42:54+05:30,2023-09-29,S87688894,NEFT-AXNPN32721951358-PHONEPE PRIVATE LIMITED-PAYM,922020004688715
DEBIT,UPI,500.0,883.80,2023-09-29T20:23:42+05:30,2023-09-29,S19974055,UPI/363815361019/202341/UPI/8795417446ybl/UPI,NA
CREDIT,OTHERS,480.0,1363.80,2023-09-30T06:09:28+05:30,2023-09-30,S25830699,NEFT-AXNPN32735104122-PHONEPE PRIVATE LIMITED-PAYM,922020004688715
DEBIT,UPI,150.0,1213.80,2023-09-30T21:19:06+05:30,2023-09-30,S62338065,UPI/363929704457/211906/UPI/paytm-71838008payt,NA
DEBIT,UPI,35.0,1178.80,2023-09-30T21:39:14+05:30,2023-09-30,S63069008,UPI/327356912025/213914/UPI/paytmqr1gjcuetfgap,NA
DEBIT,UPI,130.0,1048.80,2023-09-30T21:43:00+05:30,2023-09-30,S63191656,UPI/327382107529/214259/UPI/q179490663ybl/UPI,NA
DEBIT,UPI,50.0,998.80,2023-09-30T22:29:23+05:30,2023-09-30,S64528772,UPI/327310404873/222923/UPI/bharatpe9006767980,NA
DEBIT,UPI,10.0,988.80,2023-09-30T22:33:15+05:30,2023-09-30,S64627143,UPI/327309504550/223315/UPI/amzn0009916130apl/,NA
CREDIT,OTHERS,700.0,1688.80,2023-10-01T10:23:16+05:30,2023-10-01,S71173140,NEFT-AXNPN32748433244-PHONEPE PRIVATE LIMITED-PAYM,922020004688715
CREDIT,OTHERS,4550.0,6238.80,2023-10-01T19:02:22+05:30,2023-10-01,S92940459,IMPS/P2A/327419437183/PHONEPEPRIVATEL/IMPSAXB9111,NA
DEBIT,UPI,1.0,6237.80,2023-10-01T19:49:12+05:30,2023-10-01,S95566638,UPI/364067140409/194911/UPI/saxenajitender07ok,NA
DEBIT,UPI,4000.0,2237.80,2023-10-01T19:51:09+05:30,2023-10-01,S95670734,UPI/364082046583/195110/UPI/saxenajitender07ok,NA
DEBIT,UPI,540.0,1697.80,2023-10-01T20:16:47+05:30,2023-10-01,S96954758,UPI/364053437763/201647/UPI/bharatpe9006727091,NA
DEBIT,UPI,50.0,1647.80,2023-10-01T22:29:54+05:30,2023-10-01,S1619182,UPI/364013049968/222954/UPI/bharatpe9006422859,NA
CREDIT,OTHERS,540.0,2187.80,2023-10-02T02:55:44+05:30,2023-10-01,C79481990,IMPS/P2A/327423909113/PHONEPEPRIVATEL/IMPSAXB9111,NA
DEBIT,UPI,370.0,1817.80,2023-10-02T17:03:10+05:30,2023-10-02,S27185032,UPI/364120371370/170311/UPI/paytmqr13xcfctgk9p,NA
DEBIT,UPI,19.0,1798.80,2023-10-03T00:38:08+05:30,2023-10-03,C80957648,UPI/364271967098/000018/UPI/JIOINAPPDIRECTybl/,NA
CREDIT,OTHERS,600.0,2398.80,2023-10-03T03:56:11+05:30,2023-10-03,S43479009,NEFT-AXNPN32764818020-PHONEPE PRIVATE LIMITED-PAYM,922020004688715
DEBIT,UPI,10.0,2388.80,2023-10-03T20:25:12+05:30,2023-10-03,S83013108,UPI/364212216626/202514/UPI/q140453235ybl/UPI,NA
CREDIT,OTHERS,250.0,2638.80,2023-10-04T08:40:35+05:30,2023-10-04,S92804490,NEFT-AXNPN32778269663-PHONEPE PRIVATE LIMITED-PAYM,922020004688715
DEBIT,UPI,40.0,2598.80,2023-10-04T09:53:09+05:30,2023-10-04,S95678357,UPI/327708234724/095309/UPI/q715088262ybl/UPI,NA
DEBIT,UPI,10.0,2588.80,2023-10-04T09:59:59+05:30,2023-10-04,S95944316,UPI/327758234093/100000/UPI/q381977394ybl/UPI,NA
DEBIT,UPI,30.0,2558.80,2023-10-04T21:14:16+05:30,2023-10-04,S30546232,UPI/364351068214/211417/UPI/q103473263ybl/UPI,NA
CREDIT,OTHERS,400.0,2958.80,2023-10-05T07:29:40+05:30,2023-10-05,S36781684,NEFT-AXNPN32781741064-PHONEPE PRIVATE LIMITED-PAYM,922020004688715
CREDIT,UPI,200.0,3158.80,2023-10-05T18:48:46+05:30,2023-10-05,S69142972,UPI/327899560520/184846/UPI/mr2484066okaxis/UP,NA
DEBIT,UPI,30.0,3128.80,2023-10-05T19:56:08+05:30,2023-10-05,S73538830,UPI/327836712991/195607/UPI/9696661374ybl/UPI,NA
DEBIT,UPI,160.0,2968.80,2023-10-05T20:26:51+05:30,2023-10-05,S75291455,UPI/327849011904/202651/UPI/q779593978ybl/UPI,NA
DEBIT,UPI,226.0,2742.80,2023-10-06T13:24:14+05:30,2023-10-06,S96834019,UPI/327954639406/132413/UPI/q810644723ybl/UPI,NA
DEBIT,UPI,320.0,2422.80,2023-10-06T14:14:20+05:30,2023-10-06,S99161147,UPI/327902036646/141420/UPI/bharatpe9006615350,NA
DEBIT,UPI,10.0,2412.80,2023-10-06T16:20:57+05:30,2023-10-06,S4708973,UPI/364546141627/162059/UPI/q140453235ybl/UPI,NA
CREDIT,UPI,700.0,3112.80,2023-10-06T18:09:14+05:30,2023-10-06,S10246605,UPI/364515185408/180917/UPI/9837552268ybl/Paym,NA
DEBIT,UPI,220.0,2892.80,2023-10-06T21:27:38+05:30,2023-10-06,S21372494,UPI/364575268892/212738/UPI/bharatpe9006727091,NA
CREDIT,UPI,220.0,3112.80,2023-10-06T21:30:07+05:30,2023-10-06,S21465099,UPI/327996855768/213010/UPI/9315118386ibl/Paym,NA
DEBIT,UPI,30.0,3082.80,2023-10-06T21:32:04+05:30,2023-10-06,S21536771,UPI/364585267321/213206/UPI/q689244156ybl/UPI,NA
CREDIT,OTHERS,2330.0,5412.80,2023-10-07T09:01:11+05:30,2023-10-07,S28822250,NEFT-AXNPN32809040627-PHONEPE PRIVATE LIMITED-PAYM,922020004688715
DEBIT,UPI,19.0,5393.80,2023-10-07T15:57:03+05:30,2023-10-07,S47219816,UPI/364623096305/155702/UPI/gpaybillpayrchg2a,NA
DEBIT,UPI,2000.0,3393.80,2023-10-07T18:44:21+05:30,2023-10-07,S55892736,UPI/364663104214/184423/UPI/bharatpe9006655445,NA
DEBIT,UPI,20.0,3373.80,2023-10-07T21:17:18+05:30,2023-10-07,S64423190,UPI/364626518479/211718/UPI/q901958227ybl/UPI,NA
DEBIT,UPI,330.0,3043.80,2023-10-07T21:32:00+05:30,2023-10-07,S65016956,UPI/328022118440/213159/UPI/q424409550ybl/UPI,NA
CREDIT,UPI,1900.0,4943.80,2023-10-08T20:10:05+05:30,2023-10-08,S107106,UPI/364771401449/201008/UPI/8795417446ybl/Paym,NA
DEBIT,UPI,100.0,4843.80,2023-10-08T22:26:18+05:30,2023-10-08,S4769330,UPI/328111067339/222618/UPI/bharatpe9006568942,NA
CREDIT,OTHERS,100.0,4943.80,2023-10-09T05:24:05+05:30,2023-10-09,S6299057,NEFT-AXNPN32826017756-PHONEPE PRIVATE LIMITED-PAYM,922020004688715
DEBIT,UPI,2000.0,2943.80,2023-10-09T11:24:18+05:30,2023-10-09,S17700145,UPI/364865081071/112420/UPI/saxenajitender07ok,NA
